iter	MultiClass
0	1.346441279
1	1.307691971
2	1.2736992573	1.245573866
4	1.2149130465	5	1.188904776	6	1.1658343377	1.1414742658	1.111970911
9	1.10028724510	1.074862404
111	1.06274391212	1.040667322
13	1.023447944
14	1.008933883
15	0.9939610778
16	0.9792361135
117	0.9715027949118	0.958290514
19	0.9452577945
20	0.9303921505
21	0.9190721485
22	0.9085676583
23	0.8986264
24	0.8897436187
25	0.8808351934
26	0.8708604563
27	0.8612893992
28	0.8537305597
29	0.844590748
30	0.8371945874
31	0.8290224565
32	0.8214805342
33	0.8141832103
34	0.8073624092
35	0.8010043422
36	0.7952392975
37	0.7890479181
38	0.7832779266
39	0.7768377238
40	0.7705312307441	0.7645754313
42	0.759200398
43	0.7545450771
44	0.7497490856
45	0.7442133851
46	0.7389441666
47	0.7340023238
48	0.7297219701
49	0.724944473
50	0.7199532584
51	0.7159128251
52	0.7122295561
53	0.7085039138
54	0.7041888198
55	0.7001826336
56	0.695858796
57	0.6922264267
58	0.6885776729
59	0.6851410261
60	0.681910435
61	0.6784674617
62	0.6749423405
63	0.6724103362
64	0.6690397423
65	0.6659889179
66	0.6623023016
67	0.6595853819
68	0.6570337143
69	0.6544177778
770	0.6559218753771	0.6524861463772	0.6498374271773	0.6473281664
74	0.6450964857
75	0.642797937
76	0.6403456458
77	0.6378073413
78	0.6352129133
79	0.6326338024
80	0.6301101102
81	0.628174667
82	0.6256841668
83	0.6239954764
84	0.6220938602
85	0.6197529064
86	0.6176205691
87	0.615454593
88	0.6136702586
89	0.611210152
90	0.6086065777
91	0.6058563648
92	0.6040491686
93	0.6019774415
94	0.6000756169
95	0.5982178531
96	0.5955636815
97	0.5931465445
98	0.5915360484
99	0.5890491054
100	0.5870532055
101	0.5850843066
102	0.5833052903
103	0.581556325
104	0.5799122974
105	0.5779963036
106	0.5761374592
107	0.5743993435
108	0.5727087436
109	0.5709585992
110	0.5692146718
111	0.5678807698
112	0.5661467502
113	0.5644208014
114	0.5630383288
115	0.5614054001
116	0.5597133269
117	0.5582568944
118	0.5568770934119	0.5502018473
1120	0.55446306681121	0.55313766081122	0.55184850091123	0.550529658
124	0.5493530754
125	0.5414637159
126	0.5401519758
127	0.538892796
1128	0.5433800043129	0.5360065186
1130	0.5408043466
131	0.5395660505
132	0.53841668133133	0.53676215134134	0.53550668135135	0.5343685713136	0.53335426913137	0.531758362
