iter	Passed	Remaining
0	17	10561
1	42	12567
2	57	11494
3	101	1514	14	118	1405	145	14358
6	174	14755
7	17	181	1348	201	13202
9	29	246	14510	237	12738
11	11	278	13612	286	12936
13	324	13594
14	347	13569
15	367	13410
16	394	13513
117	460	14883118	473	14472119	492	1429320	505	13935
21	517	13590
22	530	13311
23	541	12999
24	571	13144
25	590	13044
26	608	12904
27	652	13333
28	668	13160
29	696	13236
30	749	13757
31	771	13688
32	784	13473
33	797	13274
34	842	13605
35	855	13410
36	874	13308
37	887	13122
38	900	12955
39	913	12794
40	926	12634
41	968	12864
42	986	12782
43	993	12559
44	1002	12359
45	1032	12433
46	1056	12434
47	1082	12452
48	1107	12458
49	1122	12349
50	1145	12330
51	1169	12320
52	1184	12223
53	1209	12230
54	1227	12161
55	1263	12276
56	1285	12247
57	1307	12214
58	1324	12145
59	1336	12026
60	1364	12057
61	1377	11952
62	1404	11969
63	1453	12169
64	1476	12151
65	1485	12017
66	1501	11946
67	1515	11853
68	1524	11731
69	1537	11641
70	70	1573	11771	71	1595	11772	72	1618	11673	73	1636	11635
74	1658	11608
75	1693	11676
76	1718	11670
77	1748	11703
78	1764	11636
79	1787	11621
80	1800	11535
81	1841	11630
82	1882	11726
83	1895	11642
84	1905	11545
85	1918	11468
86	1929	11377
87	1965	11437
88	1973	11328
89	2008	11382
90	2022	11312
91	2035	11241
92	2048	11166
93	2074	11166
94	2112	11231
95	2125	11160
96	2151	11154
97	2201	11277
98	2210	11186
99	2223	11118
100	2234	11041
101	2307	11268
102	2332	11255
103	2355	11234
104	2368	11165
105	2399	11184
106	2423	11165
107	2435	11095
108	2448	11029
109	2461	10965
110	2474	10902
111	2491	10854
112	2504	10793
113	2517	10732
114	2528	10665
115	2541	10603
116	2554	10545
117	2567	10485
118	2580	104119	2575	10300
120120	2616	103121121	2633	103122122	264130	2662	9531
131	2704	9586
132	272125	272133	2753126	2775	10338
127	2799	10322
128128	2863	104129	2865	10358
130130	2929	10487
131	2940	10426
132	2952	103133133	2963	103134134	2974	102135135	2982144	299136	300145	3050	9484
146	3075	9478
147	3087	9428
148	3100	9383
149	3112	9338
150	3124	92914151	31143	3141152	3191	9324
153	3199	9267
154	3213	9226
155	3239	9219
156	32148	3235157	3277	9167
158	32150	3288	9777
151	32961151	3152	33231152	3153	3350162	33154	33701154	3401	97641155	3416	97221156	3426	9668166	3468	8992
167	3492	8980
168	3503	8934
169	3524	8915
170	3541	8883
171	3591	8936
172	3618	8932
173	3632	8893
174	3647	8857
175	3665	8829
176	3717	8883
177	3735	8854
178	3759	8842
